idx,b_mm,theta_lo_deg,theta_hi_deg,theta_a0_deg,midpoint_deg,swing_deg,monotonic
275,0.343687374749499,79.4407479119595,-42.5839609732711,13.1738852531968,18.4283934693442,122.024708885231,1
276,0.357715430861723,79.5527152327278,-42.6935375675045,13.1489620471237,18.4295888326116,122.246252800232,1
277,0.371743486973948,79.6650097122904,-42.8034031911842,13.1238903937809,18.4308032605531,122.468412903475,1
278,0.385771543086172,79.7776321475176,-42.9135586354852,13.0986689686189,18.4320367560162,122.691190783003,1
279,0.399799599198397,79.8905833320231,-43.0240046929861,13.0732964313519,18.4332893195185,122.914588025009,1
280,0.413827655310621,80.0038640560689,-43.1347421576759,13.0477714257243,18.4345609491965,123.138606213745,1
281,0.427855711422846,80.1174751064698,-43.2457718249611,13.0220925792731,18.4358516407543,123.363246931431,1
282,0.44188376753507,80.2314172664964,-43.3570944916733,12.9962585030862,18.4371613874115,123.58851175817,1
283,0.455911823647295,80.3456913157775,-43.4687109560781,12.9702677915565,18.4384901798497,123.814402271856,1
284,0.469939879759519,80.4602980301998,-43.5806220178829,12.9441190221313,18.4398380061584,124.040920048083,1
285,0.483967935871743,80.5752381818083,-43.692828478247,12.9178107550574,18.4412048517806,124.268066660055,1
286,0.497995991983968,80.6905125387044,-43.8053311397914,12.8913415331214,18.4425906994565,124.495843678496,1
287,0.512024048096192,80.8061218649428,-43.9181308066087,12.8647098813856,18.4439955291671,124.724252671552,1
288,0.526052104208417,80.9220669204276,-44.031228284275,12.8379143069191,18.4454193180763,124.953295204703,1
289,0.540080160320641,81.0383484608067,-44.1446243798612,12.8109532985233,18.4468620404728,125.182972840668,1
290,0.554108216432866,81.1549672373659,-44.2583199019452,12.7838253264538,18.4483236677103,125.413287139311,1
291,0.56813627254509,81.2719239969203,-44.3723156606255,12.7565288421356,18.4498041681474,125.644239657546,1
292,0.582164328657315,81.389219481706,-44.4866124675344,12.7290622778744,18.4513035070858,125.87583194924,1
293,0.596192384769539,81.5068544292694,-44.6012111358528,12.7014240465616,18.4528216467083,126.108065565122,1
294,0.610220440881764,81.6248295723559,-44.7161124803253,12.6736125413747,18.4543585460153,126.340942052681,1
295,0.624248496993988,81.7431456387972,-44.8313173172762,12.6456261354714,18.4559141607605,126.574462956073,1
296,0.638276553106212,81.8618033513971,-44.9468264646262,12.6174631816789,18.4574884433854,126.808629816023,1
297,0.652304609218437,81.9808034278165,-45.0626407419102,12.5891220121762,18.4590813429531,127.043444169727,1
298,0.666332665330661,82.1001465804567,-45.1787609702954,12.5606009381716,18.4606928050806,127.278907550752,1
299,0.680360721442886,82.2198335163416,-45.2951879726011,12.5318982495736,18.4623227718703,127.515021488943,1
300,0.69438877755511,82.3398649369989,-45.4119225733182,12.5030122146559,18.4639711818403,127.751787510317,1
301,0.708416833667335,82.4602415383392,-45.5289655986311,12.4739410797155,18.465637969854,127.98920713697,1
302,0.722444889779559,82.580964010535,-45.6463178764394,12.4446830687253,18.4673230670478,128.227281886974,1
303,0.736472945891784,82.7020330378973,-45.763980236381,12.4152363829791,18.4690264007581,128.466013274278,1
304,0.750501002004008,82.8234492987519,-45.8819535098564,12.3855992007307,18.4707478944478,128.705402808608,1
305,0.764529058116233,82.9452134653132,-46.0002385300536,12.3557696768253,18.4724874676298,128.945451995367,1
306,0.778557114228457,83.0673262035583,-46.1188361319749,12.325745942325,18.4742450357917,129.186162335533,1
307,0.792585170340681,83.189788173098,-46.2377471524635,12.2955261041254,18.4760205103172,129.427535325562,1
308,0.806613226452906,83.3126000270482,-46.356972430233,12.2651082445668,18.4778137984076,129.669572457281,1
309,0.82064128256513,83.4357624118988,-46.4765128058962,12.2344904210362,18.4796248030013,129.912275217795,1
310,0.834669338677355,83.5592759673817,-46.5963691219969,12.2036706655628,18.4814534226924,130.155645089379,1
311,0.848697394789579,83.6831413263379,-46.7165422230418,12.1726469844047,18.483299551648,130.39968354938,1
312,0.862725450901804,83.8073591145824,-46.837032955534,12.1414173576283,18.4851630795242,130.644392070116,1
313,0.876753507014028,83.9319299507687,-46.9578421680081,12.109979738679,18.4870438913803,130.889772118777,1
314,0.890781563126253,84.0568544462514,-47.0789707110667,12.0783320539439,18.4889418675924,131.135825157318,1
315,0.904809619238477,84.1821332049478,-47.2004194374177,12.0464722023052,18.4908568837651,131.382552642366,1
316,0.918837675350701,84.3077668231981,-47.3221892019141,12.0143980546856,18.492788810642,131.629956025112,1
317,0.932865731462926,84.4337558896241,-47.4442808615946,11.982107453584,18.4947375140148,131.878036751219,1
318,0.94689378757515,84.5601009849871,-47.5666952757256,11.9495982126027,18.4967028546307,132.126796260713,1
319,0.960921843687375,84.6868026820439,-47.6894333058462,11.9168681159644,18.4986846880988,132.37623598789,1
320,0.974949899799599,84.8138615454019,-47.8124958158128,11.8839149180201,18.5006828647946,132.626357361215,1
321,0.988977955911824,84.9412781313729,-47.9358836718472,11.850736342747,18.5026972297628,132.87716180322,1
322,1.00300601202405,85.0690529878253,-48.0595977425858,11.8173300832362,18.5047276226197,133.128650730411,1
323,1.01703406813627,85.1971866540352,-48.1836388991304,11.7836938011699,18.5067738774524,133.380825553166,1
324,1.0310621242485,85.3256796605365,-48.3080080151013,11.7498251262886,18.5088358227176,133.633687675638,1
325,1.04509018036072,85.4545325289689,-48.4327059666924,11.7157216558469,18.5109132811383,133.887238495661,1
